2022-05-09 18:02:51,585 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T18:02:51Z,  ip: 192.168.48.1, 
2022-05-09 18:02:54,162 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:02:54Z,  ip: 192.168.48.1, 
2022-05-09 18:02:55,529 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:02:55Z,  ip: 192.168.48.1, 
2022-05-09 18:04:50,064 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T18:04:50Z,  ip: 192.168.48.1, 
2022-05-09 18:04:50,269 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:04:50Z,  ip: 192.168.48.1, 
2022-05-09 18:05:19,835 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:05:19Z,  ip: 192.168.48.1, 
2022-05-09 18:05:34,610 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:05:34Z,  ip: 192.168.48.1, 
2022-05-09 18:05:39,973 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T18:05:39Z,  ip: 192.168.48.1, 
2022-05-09 18:05:40,073 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:05:40Z,  ip: 192.168.48.1, 
2022-05-09 18:07:07,251 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:07:07Z,  ip: 192.168.48.1, 
2022-05-09 18:07:09,021 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:07:09Z,  ip: 192.168.48.1, 
2022-05-09 18:07:14,492 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T18:07:14Z,  ip: 192.168.48.1, 
2022-05-09 18:07:14,561 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:07:14Z,  ip: 192.168.48.1, 
2022-05-09 18:08:44,766 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:08:44Z,  ip: 192.168.48.1, 
2022-05-09 18:13:09,345 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:13:09Z,  ip: 192.168.48.1, 
2022-05-09 18:21:48,175 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:21:48Z,  ip: 192.168.48.1, 
2022-05-09 18:22:53,330 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:22:53Z,  ip: 192.168.48.1, 
2022-05-09 18:24:10,799 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:24:10Z,  ip: 192.168.48.1, 
2022-05-09 18:25:06,317 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:25:06Z,  ip: 192.168.48.1, 
2022-05-09 18:25:27,054 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:25:27Z,  ip: 192.168.48.1, 
2022-05-09 18:25:45,844 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:25:45Z,  ip: 192.168.48.1, 
2022-05-09 18:28:37,932 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:28:37Z,  ip: 192.168.48.1, 
2022-05-09 18:28:44,664 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:28:44Z,  ip: 192.168.48.1, 
2022-05-09 18:28:56,693 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:28:56Z,  ip: 192.168.48.1, 
2022-05-09 18:29:39,685 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:29:39Z,  ip: 192.168.48.1, 
2022-05-09 18:30:13,540 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:30:13Z,  ip: 192.168.48.1, 
2022-05-09 18:31:26,771 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:31:26Z,  ip: 192.168.48.1, 
2022-05-09 18:34:28,448 [INFO] in __init__ : method: GET,  path: /,  status: 200,  time: 2022-05-09T18:34:28Z,  ip: 192.168.48.1, 
2022-05-09 18:34:31,034 [INFO] in __init__ : method: GET,  path: /register,  status: 200,  time: 2022-05-09T18:34:31Z,  ip: 192.168.48.1, 
2022-05-09 18:34:42,282 [INFO] in __init__ : method: POST,  path: /register,  status: 302,  time: 2022-05-09T18:34:42Z,  ip: 192.168.48.1, 
2022-05-09 18:34:42,307 [INFO] in __init__ : method: GET,  path: /login,  status: 302,  time: 2022-05-09T18:34:42Z,  ip: 192.168.48.1, 
2022-05-09 18:34:42,407 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T18:34:42Z,  ip: 192.168.48.1, 
2022-05-09 18:34:47,295 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:34:47Z,  ip: 192.168.48.1, 
2022-05-09 18:34:48,495 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:34:48Z,  ip: 192.168.48.1, 
2022-05-09 18:34:53,828 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T18:34:53Z,  ip: 192.168.48.1, 
2022-05-09 18:34:53,865 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:34:53Z,  ip: 192.168.48.1, 
2022-05-09 18:35:04,291 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:35:04Z,  ip: 192.168.48.1, 
2022-05-09 18:35:10,085 [INFO] in __init__ : method: POST,  path: /transactions/upload,  status: 302,  time: 2022-05-09T18:35:10Z,  ip: 192.168.48.1, 
2022-05-09 18:35:10,123 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:35:10Z,  ip: 192.168.48.1, 
2022-05-09 18:38:32,372 [INFO] in __init__ : method: GET,  path: /logout,  status: 302,  time: 2022-05-09T18:38:32Z,  ip: 192.168.48.1, 
2022-05-09 18:38:32,395 [INFO] in __init__ : method: GET,  path: /login,  status: 200,  time: 2022-05-09T18:38:32Z,  ip: 192.168.48.1, 
2022-05-09 18:38:33,283 [INFO] in __init__ : method: GET,  path: /register,  status: 200,  time: 2022-05-09T18:38:33Z,  ip: 192.168.48.1, 
2022-05-09 18:38:42,596 [INFO] in __init__ : method: POST,  path: /register,  status: 302,  time: 2022-05-09T18:38:42Z,  ip: 192.168.48.1, 
2022-05-09 18:38:42,607 [INFO] in __init__ : method: GET,  path: /login,  status: 200,  time: 2022-05-09T18:38:42Z,  ip: 192.168.48.1, 
2022-05-09 18:38:49,637 [INFO] in __init__ : method: POST,  path: /login,  status: 302,  time: 2022-05-09T18:38:49Z,  ip: 192.168.48.1, 
2022-05-09 18:38:49,673 [INFO] in __init__ : method: GET,  path: /dashboard,  status: 200,  time: 2022-05-09T18:38:49Z,  ip: 192.168.48.1, 
2022-05-09 18:38:52,715 [INFO] in __init__ : method: GET,  path: /transactions,  status: 200,  time: 2022-05-09T18:38:52Z,  ip: 192.168.48.1, 
2022-05-09 18:38:53,672 [INFO] in __init__ : method: GET,  path: /transactions/upload,  status: 200,  time: 2022-05-09T18:38:53Z,  ip: 192.168.48.1, 
